fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality
5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,6
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5
6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6,7
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5
6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6
6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6
8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6
7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6
8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,5
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5
5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6
7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,6
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6
7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5
6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7
6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6
5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6
6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,5
8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12,6
12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5
5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,6
5.7,0.22,0.33,1.9,0.036,37,110,0.98945,3.26,0.58,12.4,6
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6
7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5
6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5
6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,4
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5
7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5
7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4
5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6
6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,5
7.3,0.28,0.54,12.9,0.049,62,152,0.9984,3.06,0.45,9.1,6
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,6
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5
8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,6
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6
7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85,5
7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5
9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,4
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5
5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7
6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,7
6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,8
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.26666667,7
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5
5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6
7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,6
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,4
6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6
7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5
8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6
7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6
7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5
6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,5
6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6
6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,6
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6
5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5
6.1,0.35,0.24,2.3,0.034,25,133,0.9906,3.34,0.59,12,7
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5
8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7
7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5
7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,5
8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6
7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
6.5,0.16,0.33,4.8,0.043,45,114,0.992,3.18,0.44,11.2,6
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
6.9,0.3,0.36,0.9,0.037,40,156,0.98968,3.08,0.36,12.1,6
8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4
7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,5
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,5
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5
6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,6
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,7
7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5
10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6
6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13,7
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,6
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,7
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,6
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,5
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.73333333,6
6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,6
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5
